2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Jan";"Fev";"Mar";"Dez";"Total"
"421605 SAO CRISTOVAO DO SUL";-;1;-;-;1
"421630 SAO JOAO BATISTA";-;1;-;-;1
"421660 SAO JOSE";2;1;2;-;5
"421720 SAO MIGUEL DO OESTE";-;1;-;-;1
"421725 SAO PEDRO DE ALCANTARA";-;1;1;-;2
"421730 SAUDADES";1;1;-;-;2
"421750 SEARA";1;1;-;-;2
"421780 TAIO";-;1;-;-;1
"421800 TIJUCAS";2;5;-;-;7
"421850 TREZE TILIAS";-;-;1;-;1
"421860 TROMBUDO CENTRAL";-;1;-;-;1
"421870 TUBARAO";2;-;-;-;2
"421900 URUSSANGA";-;2;-;-;2
"421920 VIDAL RAMOS";-;-;1;-;1
"421930 VIDEIRA";1;-;-;-;1
"421950 XANXERE";-;1;2;-;3
"421970 XAXIM";-;-;2;-;2
"430005 AGUA SANTA";2;6;-;-;8
"430040 ALEGRETE";1;-;-;-;1
"430060 ALVORADA";-;3;2;-;5
"430130 ARROIO GRANDE";-;2;2;-;4
"430160 BAGE";1;-;-;-;1
"430165 BARAO";-;1;-;-;1
"430210 BENTO GONCALVES";-;2;-;-;2
"430220 BOA VISTA DO BURICA";-;1;-;-;1
"430222 BOA VISTA DO CADEADO";-;-;1;-;1
"430237 BOM PROGRESSO";-;5;5;-;10
"430260 BRAGA";-;-;1;-;1
"430280 CACAPAVA DO SUL";-;-;1;-;1
"430300 CACHOEIRA DO SUL";2;5;-;-;7
"430390 CAMPO BOM";-;-;1;-;1
"430400 CAMPO NOVO";-;-;1;-;1
"430420 CANDELARIA";-;1;-;-;1
"430430 CANDIDO GODOI";-;2;-;-;2
"430460 CANOAS";2;-;1;-;3
"430466 CAPAO DO LEAO";-;1;-;-;1
"430470 CARAZINHO";1;1;-;-;2
"430510 CAXIAS DO SUL";-;1;-;-;1
"430520 CERRO LARGO";-;-;3;-;3
"430530 CHAPADA";1;-;-;-;1
"430535 CHARQUEADAS";3;-;-;-;3
"430570 CONDOR";-;1;-;-;1
"430590 CORONEL BICACO";-;1;-;-;1
"430600 CRISSIUMAL";-;-;1;-;1
"430610 CRUZ ALTA";-;4;-;-;4
"430620 CRUZEIRO DO SUL";-;1;-;-;1
"430640 DOIS IRMAOS";2;-;1;-;3
"430660 DOM PEDRITO";3;-;-;-;3
"430700 ERECHIM";1;-;-;-;1
"430730 ERVAL SECO";-;-;2;-;2
"430755 ESTACAO";1;-;-;-;1
"430770 ESTEIO";1;-;-;-;1
"430850 FREDERICO WESTPHALEN";-;1;-;-;1
"430890 GETULIO VARGAS";-;1;-;-;1
"430920 GRAVATAI";-;-;9;-;9
"430930 GUAIBA";1;-;-;-;1
"430970 HUMAITA";-;-;1;-;1
"431020 IJUI";-;-;1;-;1
"431080 IVOTI";-;1;-;-;1
"431140 LAJEADO";1;-;-;-;1
"431162 LINDOLFO COLLOR";-;2;-;-;2
"431180 MARAU";-;1;-;-;1
"431205 MARQUES DE SOUZA";1;-;-;-;1
"431230 MIRAGUAI";-;-;1;-;1
"431265 NAO-ME-TOQUE";-;-;1;-;1
"431270 NONOAI";-;1;1;-;2
"431290 NOVA BASSANO";-;1;-;-;1
"431337 NOVA SANTA RITA";-;-;1;-;1
"431340 NOVO HAMBURGO";2;1;2;-;5
"431350 OSORIO";4;4;2;-;10
"431370 PALMEIRA DAS MISSOES";1;-;1;-;2
"431390 PANAMBI";1;1;-;-;2
"431405 PAROBE";-;-;1;-;1
"431410 PASSO FUNDO";2;2;3;-;7
"431440 PELOTAS";-;10;16;-;26
"431450 PINHEIRO MACHADO";-;1;-;-;1
"431455 PIRAPO";2;2;-;-;4
"431480 PORTAO";-;1;7;-;8
"431490 PORTO ALEGRE";2;3;-;-;5
"431500 PORTO LUCENA";2;5;4;-;11
"431505 PORTO MAUA";-;-;2;-;2
"431507 PORTO VERA CRUZ";-;1;1;-;2
"431510 PORTO XAVIER";-;2;-;-;2
"431560 RIO GRANDE";-;15;37;-;52
"431590 RODEIO BONITO";-;-;1;-;1
"431640 ROSARIO DO SUL";1;-;-;-;1
"431650 SALVADOR DO SUL";1;-;-;-;1
"431660 SANANDUVA";-;1;-;-;1
"431670 SANTA BARBARA DO SUL";-;1;-;-;1
"431680 SANTA CRUZ DO SUL";-;7;1;-;8
"431690 SANTA MARIA";-;-;1;-;1
"431700 SANTANA DA BOA VISTA";-;-;1;-;1
"431710 SANT'ANA DO LIVRAMENTO";2;3;-;-;5
"431720 SANTA ROSA";2;3;5;-;10
"431760 SANTO ANTONIO DA PATRULHA";-;-;1;-;1
"431770 SANTO ANTONIO DAS MISSOES";-;1;-;-;1
"431775 SANTO ANTONIO DO PLANALTO";-;-;1;-;1
"431800 SAO BORJA";51;50;30;1;132
"431840 SAO JERONIMO";1;1;-;-;2
"431870 SAO LEOPOLDO";3;1;5;-;9
"431880 SAO LOURENCO DO SUL";-;1;-;-;1
"431890 SAO LUIZ GONZAGA";-;-;1;-;1
"431920 SAO NICOLAU";3;3;-;-;6
"431936 SAO PEDRO DAS MISSOES";-;-;1;-;1
"431950 SAO SEBASTIAO DO CAI";-;-;1;-;1
"432000 SAPUCAIA DO SUL";-;2;1;-;3
"432010 SARANDI";-;1;1;-;2
"432030 SELBACH";1;-;-;-;1
"432057 SETE DE SETEMBRO";-;-;1;-;1
"432090 TAPEJARA";2;-;-;-;2
"432180 TRES DE MAIO";-;4;5;-;9
"432190 TRES PASSOS";-;1;2;-;3
"432210 TUCUNDUVA";-;1;-;-;1
"432230 TUPARENDI";-;-;1;-;1
"432240 URUGUAIANA";-;1;-;-;1
"432280 VERANOPOLIS";1;-;-;-;1
"432300 VIAMAO";-;-;1;-;1
"500020 AGUA CLARA";4;1;14;-;19
"500025 ALCINOPOLIS";10;29;20;-;59
"500060 AMAMBAI";95;345;392;1;833
"500070 ANASTACIO";4;24;23;-;51
"500080 ANAURILANDIA";4;6;1;-;11
"500085 ANGELICA";-;2;7;-;9
"500090 ANTONIO JOAO";35;73;118;1;227
"500100 APARECIDA DO TABOADO";1;-;1;-;2
"500110 AQUIDAUANA";7;19;30;-;56
"500124 ARAL MOREIRA";2;4;1;-;7
"500150 BANDEIRANTES";-;9;3;-;12
"500190 BATAGUASSU";23;63;21;-;107
"500200 BATAYPORA";5;23;43;-;71
"500210 BELA VISTA";25;34;43;1;103
"500215 BODOQUENA";-;3;31;-;34
"500220 BONITO";-;25;40;-;65
"500230 BRASILANDIA";6;14;26;-;46
"500240 CAARAPO";37;140;179;-;356
"500260 CAMAPUA";1;-;2;-;3
"500270 CAMPO GRANDE";19;32;8;-;59
"500280 CARACOL";10;9;26;-;45
"500290 CASSILANDIA";25;79;39;-;143
"500295 CHAPADAO DO SUL";179;780;141;1;1101
"500310 CORGUINHO";2;10;14;-;26
"500315 CORONEL SAPUCAIA";2;10;17;2;31
"500320 CORUMBA";35;55;21;2;113
"500325 COSTA RICA";289;516;178;6;989
"500330 COXIM";1;22;17;-;40
"500345 DEODAPOLIS";2;1;1;-;4
"500348 DOIS IRMAOS DO BURITI";14;41;42;-;97
"500350 DOURADINA";4;5;7;-;16
"500370 DOURADOS";99;157;250;-;506
"500375 ELDORADO";-;1;3;-;4
"500380 FATIMA DO SUL";20;35;13;-;68
"500390 FIGUEIRAO";1;29;16;-;46
"500400 GLORIA DE DOURADOS";-;1;-;-;1
"500410 GUIA LOPES DA LAGUNA";16;24;14;-;54
"500430 IGUATEMI";-;59;100;-;159
"500440 INOCENCIA";1;-;-;-;1
"500450 ITAPORA";1;-;-;-;1
"500460 ITAQUIRAI";23;49;109;-;181
"500470 IVINHEMA";4;52;80;-;136
"500480 JAPORA";-;1;11;-;12
"500490 JARAGUARI";2;24;41;-;67
"500500 JARDIM";2;68;189;-;259
"500515 JUTI";-;29;137;-;166
"500520 LADARIO";48;57;65;1;171
"500525 LAGUNA CARAPA";3;8;4;-;15
"500540 MARACAJU";2;161;311;-;474
"500560 MIRANDA";17;39;77;-;133
"500568 MUNDO NOVO";3;50;114;-;167
"500570 NAVIRAI";2;9;27;-;38
"500580 NIOAQUE";6;16;14;-;36
"500600 NOVA ALVORADA DO SUL";2;-;1;-;3
"500620 NOVA ANDRADINA";8;28;73;-;109
"500625 NOVO HORIZONTE DO SUL";-;1;5;-;6
"500627 PARAISO DAS AGUAS";24;79;76;2;181
"500630 PARANAIBA";10;74;23;-;107
"500635 PARANHOS";142;48;17;5;212
"500660 PONTA PORA";77;208;157;1;443
"500690 PORTO MURTINHO";-;11;20;-;31
"500710 RIBAS DO RIO PARDO";11;41;45;-;97
"500720 RIO BRILHANTE";-;-;18;-;18
"500730 RIO NEGRO";1;3;4;-;8
"500740 RIO VERDE DE MATO GROSSO";14;32;21;-;67
"500750 ROCHEDO";1;2;1;-;4
"500755 SANTA RITA DO PARDO";8;44;23;-;75
"500769 SAO GABRIEL DO OESTE";2;9;5;-;16
"500770 SETE QUEDAS";120;121;111;2;354
"500780 SELVIRIA";-;33;11;-;44
"500790 SIDROLANDIA";27;105;120;-;252
"500793 SONORA";-;-;3;-;3
"500795 TACURU";32;92;105;-;229
"500797 TAQUARUSSU";2;11;17;-;30
"500800 TERENOS";1;12;22;-;35
"500830 TRES LAGOAS";158;277;305;-;740
"500840 VICENTINA";1;13;25;-;39
"510025 ALTA FLORESTA";3;1;1;-;5
"510030 ALTO ARAGUAIA";1;1;2;-;4
"510035 ALTO BOA VISTA";1;-;2;-;3
"510040 ALTO GARCAS";2;-;-;-;2
"510050 ALTO PARAGUAI";-;-;9;-;9
"510060 ALTO TAQUARI";-;2;1;-;3
"510125 ARAPUTANGA";2;2;1;-;5
"510140 ARIPUANA";-;3;3;-;6
"510170 BARRA DO BUGRES";-;10;110;-;120
"510180 BARRA DO GARCAS";-;2;1;-;3
"510250 CACERES";8;30;75;-;113
"510260 CAMPINAPOLIS";-;-;3;-;3
"510263 CAMPO NOVO DO PARECIS";32;21;21;2;76
"510267 CAMPO VERDE";2;1;-;1;4
"510268 CAMPOS DE JULIO";-;5;1;-;6
"510269 CANABRAVA DO NORTE";-;13;15;-;28
"510270 CANARANA";5;2;4;-;11
"510300 CHAPADA DOS GUIMARAES";3;3;14;-;20
"510310 COCALINHO";1;1;-;-;2
"510320 COLIDER";1;2;1;-;4
"510330 COMODORO";1;-;2;-;3
"510335 CONFRESA";66;120;26;-;212
"510337 COTRIGUACU";-;1;-;-;1
"510340 CUIABA";4;6;5;-;15
"510350 DIAMANTINO";-;1;2;-;3
"510390 GENERAL CARNEIRO";-;9;8;-;17
"510410 GUARANTA DO NORTE";-;1;-;-;1
"510420 GUIRATINGA";1;3;4;-;8
"510452 IPIRANGA DO NORTE";-;-;2;-;2
"510460 ITIQUIRA";1;-;-;-;1
"510480 JACIARA";-;2;2;-;4
"510510 JUARA";5;5;7;-;17
"510515 JUINA";-;1;-;-;1
"510558 MARCELANDIA";1;5;-;-;6
"510562 MIRASSOL D'OESTE";-;1;2;-;3
"510610 NOSSA SENHORA DO LIVRAMENTO";-;1;-;-;1
"510619 NOVA SANTA HELENA";-;-;1;-;1
"510622 NOVA MUTUM";1;15;14;-;30
"510623 NOVA OLIMPIA";-;1;-;-;1
"510628 NOVO SAO JOAQUIM";1;-;-;-;1
"510629 PARANAITA";-;4;-;-;4
"510670 PONTE BRANCA";-;-;1;-;1
"510677 PORTO ALEGRE DO NORTE";4;9;1;-;14
"510680 PORTO DOS GAUCHOS";-;1;-;-;1
"510700 POXOREO";-;-;1;-;1
"510704 PRIMAVERA DO LESTE";-;1;1;-;2
"510706 QUERENCIA";-;23;118;-;141
"510710 SAO JOSE DOS QUATRO MARCOS";-;-;4;-;4
"510718 RIBEIRAO CASCALHEIRA";-;1;-;-;1
"510724 SANTA CARMEM";2;-;-;-;2
"510726 SANTO AFONSO";-;1;2;-;3
"510730 SAO JOSE DO RIO CLARO";-;-;5;-;5
"510735 SAO JOSE DO XINGU";15;28;-;-;43
"510760 RONDONOPOLIS";2;12;3;-;17
"510770 ROSARIO OESTE";-;-;1;-;1
"510774 SANTA CRUZ DO XINGU";13;38;40;-;91
"510777 SANTA TEREZINHA";1;1;-;-;2
"510785 SAO FELIX DO ARAGUAIA";1;2;2;-;5
"510787 SAPEZAL";2;2;1;-;5
"510790 SINOP";8;18;14;1;41
"510792 SORRISO";3;4;1;-;8
"510795 TANGARA DA SERRA";418;2340;722;-;3480
"510800 TAPURAH";-;-;2;-;2
"510810 TESOURO";-;1;-;-;1
"510840 VARZEA GRANDE";2;20;5;-;27
"510860 VILA RICA";5;10;23;-;38
"520005 ABADIA DE GOIAS";-;1;3;-;4
"520010 ABADIANIA";-;1;-;-;1
"520013 ACREUNA";-;-;1;-;1
"520015 ADELANDIA";4;-;1;-;5
"520025 AGUAS LINDAS DE GOIAS";8;3;1;1;13
"520030 ALEXANIA";1;3;1;-;5
"520060 ALTO PARAISO DE GOIAS";-;1;-;-;1
"520080 ALVORADA DO NORTE";1;-;-;-;1
"520085 AMERICANO DO BRASIL";-;2;1;-;3
"520090 AMORINOPOLIS";-;-;1;-;1
"520110 ANAPOLIS";12;2;4;-;18
"520130 ANICUNS";-;1;-;-;1
"520140 APARECIDA DE GOIANIA";13;13;6;-;32
"520150 APORE";1;3;3;-;7
"520170 ARAGARCAS";1;-;-;-;1
"520180 ARAGOIANIA";1;-;-;-;1
"520215 ARAGUAPAZ";-;2;1;-;3
"520320 BARRO ALTO";1;1;1;-;3
"520340 BOM JARDIM DE GOIAS";1;3;-;-;4
"520350 BOM JESUS DE GOIAS";2;-;1;-;3
"520357 BONOPOLIS";1;-;-;-;1
"520410 CACHOEIRA ALTA";-;-;1;-;1
"520420 CACHOEIRA DE GOIAS";-;2;-;-;2
"520425 CACHOEIRA DOURADA";1;15;17;-;33
"520430 CACU";2;1;-;-;3
"520440 CAIAPONIA";1;2;-;-;3
"520450 CALDAS NOVAS";3;6;2;-;11
"520470 CAMPINORTE";2;-;-;-;2
"520485 CAMPO LIMPO DE GOIAS";-;-;1;-;1
"520490 CAMPOS BELOS";-;-;2;-;2
"520510 CATALAO";2;1;-;-;3
"520540 CERES";-;5;3;-;8
"520547 CHAPADAO DO CEU";8;3;-;1;12
"520549 CIDADE OCIDENTAL";25;151;22;1;199
"520551 COCALZINHO DE GOIAS";4;8;1;-;13
"520580 CORUMBA DE GOIAS";1;6;9;-;16
"520590 CORUMBAIBA";2;5;1;-;8
"520620 CRISTALINA";-;7;3;-;10
"520725 DOVERLANDIA";-;3;6;-;9
"520735 EDEALINA";-;2;-;-;2
"520740 EDEIA";-;1;-;-;1
"520780 FIRMINOPOLIS";2;1;1;-;4
"520800 FORMOSA";2;-;6;-;8
"520830 DIVINOPOLIS DE GOIAS";-;1;-;-;1
"520860 GOIANESIA";2;-;1;-;3
"520870 GOIANIA";92;138;89;-;319
"520880 GOIANIRA";-;4;-;-;4
"520890 GOIAS";1;1;-;-;2
"520910 GOIATUBA";4;11;1;-;16
"520915 GOUVELANDIA";2;1;-;-;3
"520920 GUAPO";-;-;1;-;1
"520970 HIDROLANDIA";-;2;1;-;3
"520990 IACIARA";-;3;2;-;5
"521000 INHUMAS";-;8;3;-;11
"521010 IPAMERI";-;1;3;-;4
"521015 IPIRANGA DE GOIAS";-;-;1;-;1
"521020 IPORA";2;3;1;-;6
"521040 ITABERAI";-;1;1;-;2
"521080 ITAJA";-;-;1;-;1
"521130 ITARUMA";-;-;1;-;1
"521150 ITUMBIARA";14;35;5;-;54
"521160 IVOLANDIA";-;-;1;-;1
"521180 JARAGUA";2;1;-;-;3
"521190 JATAI";1407;1150;591;35;3183
"521205 JESUPOLIS";-;1;-;-;1
"521210 JOVIANIA";-;1;-;-;1
"521220 JUSSARA";1;-;1;-;2
"521230 LEOPOLDO DE BULHOES";2;5;2;-;9
"521250 LUZIANIA";43;12;3;-;58
"521270 MAMBAI";-;-;1;-;1
"521310 MINEIROS";22;66;34;-;122
"521350 MONTE ALEGRE DE GOIAS";-;-;2;1;3
"521370 MONTES CLAROS DE GOIAS";1;-;-;-;1
"521375 MONTIVIDIU";-;1;2;-;3
"521377 MONTIVIDIU DO NORTE";-;2;-;-;2
"521380 MORRINHOS";3;5;3;-;11
"521405 MUNDO NOVO";-;1;-;-;1
"521450 NEROPOLIS";1;-;-;-;1
"521460 NIQUELANDIA";-;-;1;-;1
"521523 NOVO GAMA";3;2;3;-;8
"521530 ORIZONA";-;-;-;1;1
"521560 PADRE BERNARDO";1;1;2;-;4
"521565 PALESTINA DE GOIAS";-;1;-;-;1
"521570 PALMEIRAS DE GOIAS";1;31;35;-;67
"521630 PARANAIGUARA";-;1;-;-;1
"521645 PEROLANDIA";16;16;3;1;36
"521710 PIRACANJUBA";1;1;2;-;4
"521720 PIRANHAS";-;2;-;-;2
"521740 PIRES DO RIO";2;1;-;-;3
"521770 PONTALINA";-;1;1;-;2
"521800 PORANGATU";1;2;2;-;5
"521839 PROFESSOR JAMIL";1;-;-;-;1
"521860 RIALMA";-;1;-;-;1
"521880 RIO VERDE";1;53;66;-;120
"521890 RUBIATABA";1;-;-;-;1
"521900 SANCLERLANDIA";25;93;69;-;187
"521910 SANTA BARBARA DE GOIAS";1;-;-;-;1
"521930 SANTA HELENA DE GOIAS";-;1;-;-;1
"521935 SANTA ISABEL";-;1;-;-;1
"521971 SANTO ANTONIO DA BARRA";-;-;4;-;4
"521973 SANTO ANTONIO DE GOIAS";-;1;-;-;1
"521975 SANTO ANTONIO DO DESCOBERTO";1;20;26;-;47
"521980 SAO DOMINGOS";-;1;-;-;1
"522000 SAO JOAO D'ALIANCA";1;2;1;-;4
"522005 SAO JOAO DA PARAUNA";-;2;1;-;3
"522010 SAO LUIS DE MONTES BELOS";16;13;3;-;32
"522020 SAO MIGUEL DO ARAGUAIA";-;1;-;-;1
"522040 SAO SIMAO";2;25;28;-;55
"522045 SENADOR CANEDO";-;2;1;-;3
"522050 SERRANOPOLIS";42;9;6;3;60
"522060 SILVANIA";2;4;1;-;7
"522068 SIMOLANDIA";-;1;-;-;1
"522070 SITIO D'ABADIA";-;1;-;-;1
"522140 TRINDADE";9;36;8;-;53
"522150 TURVANIA";1;1;1;-;3
"522160 URUACU";3;1;-;-;4
"522180 URUTAI";-;2;-;-;2
"522185 VALPARAISO DE GOIAS";4;10;8;-;22
"522200 VIANOPOLIS";3;10;11;-;24
"530010 BRASILIA";227;248;191;3;669
"Total";40856;59671;35780;625;136932
&
