2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"291650 ITAPICURU";-;-;-;-;-;3;4;1;1;-;1;-;10
"291660 ITAPITANGA";-;-;-;-;-;-;-;-;-;6;18;11;35
"291670 ITAQUARA";-;-;-;-;-;-;1;6;7;11;11;-;36
"291680 ITARANTIM";-;-;-;-;-;-;2;1;2;1;7;2;15
"291685 ITATIM";-;-;-;-;2;1;2;6;15;22;13;5;66
"291690 ITIRUCU";-;-;-;-;2;-;2;3;10;10;6;-;33
"291700 ITIUBA";-;-;-;1;-;1;2;1;1;-;-;-;6
"291710 ITORORO";-;-;-;-;-;1;1;6;27;24;12;-;71
"291720 ITUACU";-;1;-;1;-;1;2;4;-;-;-;-;9
"291730 ITUBERA";-;-;-;1;-;1;-;9;23;26;32;4;96
"291733 IUIU";-;-;2;-;4;4;5;9;62;30;57;25;198
"291735 JABORANDI";-;2;2;1;6;6;8;13;15;9;2;-;64
"291740 JACARACI";87;48;95;158;147;154;184;242;198;144;102;25;1584
"291750 JACOBINA";1;3;2;1;13;17;18;61;40;62;40;4;262
"291760 JAGUAQUARA";-;-;-;-;1;3;6;14;21;55;38;1;139
"291770 JAGUARARI";-;1;-;-;3;1;3;3;5;17;8;4;45
"291780 JAGUARIPE";-;-;-;-;-;-;1;-;2;4;4;-;11
"291790 JANDAIRA";-;-;-;-;-;1;-;1;-;4;4;2;12
"291800 JEQUIE";-;2;1;6;7;3;10;34;51;84;116;27;341
"291810 JEREMOABO";-;-;-;1;2;-;-;6;6;23;6;2;46
"291820 JIQUIRICA";-;-;1;-;-;-;2;-;-;3;5;-;11
"291830 JITAUNA";-;-;-;2;-;-;5;2;6;-;-;-;15
"291835 JOAO DOURADO";-;-;1;-;-;-;-;-;3;2;-;-;6
"291840 JUAZEIRO";11;3;2;2;5;15;35;66;91;128;67;4;429
"291845 JUCURUCU";-;-;-;-;1;-;2;18;22;49;25;8;125
"291850 JUSSARA";-;-;-;-;1;-;5;9;19;17;31;-;82
"291855 JUSSARI";-;-;-;2;6;15;5;12;17;4;-;-;61
"291860 JUSSIAPE";-;-;-;-;-;-;5;-;-;5;1;-;11
"291870 LAFAIETE COUTINHO";-;-;-;-;-;1;-;1;2;8;11;-;23
"291875 LAGOA REAL";-;-;-;-;2;-;2;14;14;21;27;17;97
"291880 LAJE";-;-;-;-;-;1;2;5;37;70;73;16;204
"291890 LAJEDAO";1;1;4;7;3;29;24;8;20;5;7;1;110
"291900 LAJEDINHO";-;-;-;-;-;-;-;-;-;1;1;-;2
"291905 LAJEDO DO TABOCAL";-;-;-;1;-;3;5;3;4;13;-;-;29
"291910 LAMARAO";-;-;-;-;-;1;-;-;1;1;1;-;4
"291915 LAPAO";-;-;-;2;1;2;1;2;4;3;14;2;31
"291920 LAURO DE FREITAS";-;3;1;1;6;6;1;7;11;13;25;5;79
"291930 LENCOIS";2;3;1;1;2;5;2;17;19;16;15;10;93
"291940 LICINIO DE ALMEIDA";-;-;-;3;1;9;11;20;51;62;80;42;279
"291950 LIVRAMENTO DE NOSSA SENHORA";1;-;-;7;11;13;20;44;41;43;34;4;218
"291955 LUIS EDUARDO MAGALHAES";2;6;18;12;35;37;58;108;117;101;141;1;636
"291960 MACAJUBA";-;-;1;1;1;-;2;-;4;4;2;1;16
"291970 MACARANI";-;-;2;-;-;5;3;10;28;24;23;20;115
"291980 MACAUBAS";9;10;12;10;26;39;67;119;292;324;267;19;1194
"291990 MACURURE";-;-;1;-;2;4;6;13;22;27;29;-;104
"291992 MADRE DE DEUS";-;1;-;-;1;-;-;2;2;1;-;-;7
"291995 MAETINGA";-;-;-;1;-;-;6;1;38;48;30;1;125
"292000 MAIQUINIQUE";-;-;1;-;-;-;10;8;16;25;10;4;74
"292010 MAIRI";1;-;1;-;12;14;25;78;113;51;22;-;317
"292020 MALHADA";-;-;-;-;2;2;7;8;31;6;5;-;61
"292030 MALHADA DE PEDRAS";-;-;-;1;1;-;1;8;16;15;4;2;48
"292040 MANOEL VITORINO";-;-;1;8;10;24;13;45;22;25;10;1;159
"292045 MANSIDAO";-;-;1;2;-;-;-;7;12;17;-;-;39
"292050 MARACAS";-;1;7;7;5;10;7;20;31;20;10;3;121
"292060 MARAGOGIPE";-;-;-;-;-;-;-;-;6;12;17;1;36
"292070 MARAU";-;2;-;2;2;3;11;29;40;35;2;-;126
"292080 MARCIONILIO SOUZA";-;-;-;-;-;-;1;8;6;1;5;-;21
"292090 MASCOTE";-;-;-;1;-;1;1;5;11;12;8;-;39
"292105 MATINA";1;2;2;5;7;19;15;30;57;40;19;5;202
"292110 MEDEIROS NETO";-;1;1;-;-;4;2;3;12;28;18;2;71
"292120 MIGUEL CALMON";1;1;-;1;7;17;46;65;91;102;32;-;363
"292130 MILAGRES";-;-;-;-;-;-;-;-;5;9;3;-;17
"292140 MIRANGABA";-;-;-;-;2;7;7;22;32;23;20;1;114
"292145 MIRANTE";-;-;-;-;1;-;-;2;6;18;28;-;55
"292150 MONTE SANTO";-;-;-;-;1;6;1;6;22;5;-;-;41
"292160 MORPARA";-;-;-;-;1;10;9;1;6;3;5;1;36
"292170 MORRO DO CHAPEU";20;30;47;70;102;143;145;206;273;246;152;3;1437
"292180 MORTUGABA";-;2;4;6;10;28;36;31;55;74;35;9;290
"292190 MUCUGE";-;1;-;4;5;7;9;16;10;26;5;-;83
"292200 MUCURI";1;3;-;2;7;8;26;31;33;59;15;1;186
"292205 MULUNGU DO MORRO";-;-;1;-;2;1;8;26;25;12;20;2;97
"292210 MUNDO NOVO";-;-;-;1;-;-;-;6;5;5;5;-;22
"292225 MUQUEM DE SAO FRANCISCO";-;-;-;-;-;-;1;3;2;10;5;-;21
"292230 MURITIBA";3;-;1;5;1;2;4;7;27;26;76;32;184
"292250 NAZARE";-;-;-;1;-;-;-;-;10;15;24;-;50
"292260 NILO PECANHA";-;-;-;-;-;-;-;2;-;3;7;1;13
"292265 NORDESTINA";-;-;-;-;-;4;1;12;12;3;5;1;38
"292270 NOVA CANAA";1;-;-;-;-;1;2;3;8;2;8;-;25
"292273 NOVA FATIMA";-;-;-;-;-;-;-;-;2;3;4;4;13
"292275 NOVA IBIA";-;-;-;-;-;-;-;-;6;3;4;-;13
"292280 NOVA ITARANA";-;1;-;-;-;-;-;2;6;3;-;-;12
"292285 NOVA REDENCAO";-;-;-;-;-;-;-;3;14;12;-;-;29
"292290 NOVA SOURE";-;1;-;-;-;-;1;9;7;8;6;-;32
"292300 NOVA VICOSA";1;2;2;4;49;73;59;56;30;7;19;9;311
"292303 NOVO HORIZONTE";8;2;3;11;14;18;30;57;41;38;34;7;263
"292305 NOVO TRIUNFO";-;-;-;-;-;1;1;-;-;-;-;-;2
"292310 OLINDINA";-;-;-;-;-;-;-;10;3;9;3;-;25
"292320 OLIVEIRA DOS BREJINHOS";-;-;-;-;5;1;11;20;14;5;1;-;57
"292330 OURICANGAS";-;-;-;-;-;-;-;1;4;15;-;-;20
"292335 OUROLANDIA";1;-;-;-;-;1;4;7;15;12;7;7;54
"292340 PALMAS DE MONTE ALTO";-;-;-;-;-;5;11;18;25;45;34;17;155
"292350 PALMEIRAS";-;-;1;-;-;2;1;13;23;23;12;7;82
"292360 PARAMIRIM";-;1;4;1;5;13;5;25;35;55;69;36;249
"292370 PARATINGA";-;-;-;2;1;1;2;26;10;40;47;12;141
"292380 PARIPIRANGA";-;-;1;1;-;2;1;23;47;52;7;-;134
"292390 PAU BRASIL";-;-;-;-;-;-;4;2;3;1;1;-;11
"292400 PAULO AFONSO";1;-;-;-;2;2;1;6;15;29;23;-;79
"292405 PE DE SERRA";-;-;1;-;1;1;2;4;25;12;8;-;54
"292410 PEDRAO";-;-;-;-;-;-;1;1;12;3;7;6;30
"292420 PEDRO ALEXANDRE";-;-;-;-;-;-;4;4;1;-;-;-;9
"292430 PIATA";3;5;2;15;6;15;4;7;23;8;-;-;88
"292440 PILAO ARCADO";-;2;-;1;4;1;2;-;1;3;1;-;15
"292450 PINDAI";-;-;2;4;7;7;20;46;37;45;54;21;243
"292460 PINDOBACU";-;-;-;-;-;1;1;2;12;10;20;3;49
"292465 PINTADAS";-;-;-;-;-;-;7;4;6;12;8;2;39
"292467 PIRAI DO NORTE";-;-;-;-;-;-;-;2;2;11;39;20;74
"292470 PIRIPA";84;142;155;141;140;115;70;93;72;96;57;24;1189
"292480 PIRITIBA";1;-;-;2;23;34;31;88;103;133;157;60;632
"292490 PLANALTINO";-;-;-;-;3;2;1;4;8;8;4;-;30
"292500 PLANALTO";-;4;3;2;3;6;20;29;60;91;47;12;277
"292510 POCOES";1;1;-;1;3;2;6;10;29;48;70;14;185
"292520 POJUCA";-;-;1;-;2;1;3;4;6;5;12;-;34
"292525 PONTO NOVO";-;-;-;-;-;-;3;2;1;1;1;1;9
"292530 PORTO SEGURO";3;10;11;9;35;34;82;106;255;322;207;17;1091
"292540 POTIRAGUA";-;1;-;-;-;-;2;1;6;8;14;18;50
"292550 PRADO";-;1;-;2;2;2;6;8;20;17;27;16;101
"292560 PRESIDENTE DUTRA";-;-;-;1;-;-;4;17;28;19;4;1;74
"292570 PRESIDENTE JANIO QUADROS";-;1;1;-;15;34;28;104;127;149;127;37;623
"292575 PRESIDENTE TANCREDO NEVES";-;-;-;-;-;-;-;-;-;1;-;-;1
"292580 QUEIMADAS";-;-;-;-;-;-;2;4;2;2;2;-;12
"292590 QUIJINGUE";-;-;-;-;-;2;-;5;12;2;6;-;27
"292593 QUIXABEIRA";-;-;1;5;13;20;45;104;127;92;131;46;584
"292595 RAFAEL JAMBEIRO";3;-;-;-;1;8;9;26;39;28;14;-;128
"292600 REMANSO";-;-;-;-;-;1;3;8;13;21;9;1;56
"292610 RETIROLANDIA";-;-;-;-;-;4;1;7;3;5;-;-;20
"292620 RIACHAO DAS NEVES";-;-;-;-;-;-;5;9;10;17;11;1;53
"292630 RIACHAO DO JACUIPE";-;-;-;-;1;1;8;26;30;43;20;8;137
"292640 RIACHO DE SANTANA";2;-;5;2;14;18;14;58;95;146;159;74;587
"292650 RIBEIRA DO AMPARO";-;-;-;-;1;-;-;-;-;2;4;-;7
"292660 RIBEIRA DO POMBAL";-;1;-;-;-;3;6;14;26;22;18;10;100
"292665 RIBEIRAO DO LARGO";1;1;-;-;-;-;-;5;3;13;10;-;33
"292670 RIO DE CONTAS";-;-;-;-;-;2;3;7;14;17;22;26;91
"292680 RIO DO ANTONIO";1;-;1;-;-;1;3;4;5;3;10;9;37
"292690 RIO DO PIRES";-;-;-;2;-;1;2;12;25;22;16;1;81
"292700 RIO REAL";-;3;1;-;1;1;2;6;6;2;5;2;29
"292710 RODELAS";9;2;1;2;3;4;7;6;13;15;4;-;66
"292720 RUY BARBOSA";-;-;-;-;1;-;-;-;-;-;-;-;1
"292740 SALVADOR";97;102;101;125;263;311;646;969;992;781;693;196;5276
"292750 SANTA BARBARA";-;-;-;-;1;-;8;12;15;35;46;12;129
"292760 SANTA BRIGIDA";-;-;-;-;-;-;-;1;1;-;-;-;2
"292770 SANTA CRUZ CABRALIA";-;-;1;3;4;12;7;9;40;59;53;7;195
"292780 SANTA CRUZ DA VITORIA";-;-;-;-;-;-;4;1;7;3;-;-;15
"292790 SANTA INES";-;-;-;-;-;-;-;-;3;8;5;2;18
"292800 SANTALUZ";-;-;-;-;5;9;6;14;18;15;-;-;67
"292805 SANTA LUZIA";-;-;-;-;-;-;-;-;3;12;7;1;23
"292810 SANTA MARIA DA VITORIA";5;4;2;11;24;30;41;49;82;119;51;-;418
"292820 SANTANA";-;-;1;-;6;2;5;8;21;32;26;5;106
"292830 SANTANOPOLIS";-;-;-;-;-;-;-;1;2;3;4;-;10
"292840 SANTA RITA DE CASSIA";1;1;2;2;3;9;25;27;38;52;74;14;248
"292850 SANTA TERESINHA";-;-;-;-;-;-;1;1;6;18;-;-;26
"292860 SANTO AMARO";-;-;-;1;1;4;8;3;1;3;4;-;25
"292870 SANTO ANTONIO DE JESUS";4;12;7;13;12;11;27;60;134;172;289;33;774
"292880 SANTO ESTEVAO";2;13;22;9;29;52;54;141;219;207;82;11;841
"292890 SAO DESIDERIO";-;1;-;3;2;2;9;11;19;1;-;-;48
"292895 SAO DOMINGOS";-;-;-;-;-;-;1;1;-;-;1;-;3
"292900 SAO FELIX";-;-;-;-;1;-;5;10;2;8;1;-;27
"292905 SAO FELIX DO CORIBE";-;-;1;-;-;-;-;-;10;5;4;-;20
"292910 SAO FELIPE";-;-;-;-;-;-;-;5;13;36;6;-;60
"292920 SAO FRANCISCO DO CONDE";-;-;4;5;10;2;2;4;15;11;2;1;56
"292925 SAO GABRIEL";-;-;-;1;2;3;4;7;16;19;24;3;79
"292930 SAO GONCALO DOS CAMPOS";-;-;-;-;2;-;-;18;38;15;1;1;75
"292935 SAO JOSE DA VITORIA";-;-;-;1;2;-;1;2;1;5;-;3;15
"292937 SAO JOSE DO JACUIPE";-;-;-;-;2;1;1;22;31;7;6;2;72
"292940 SAO MIGUEL DAS MATAS";-;-;-;-;-;1;6;7;10;5;1;-;30
"292950 SAO SEBASTIAO DO PASSE";1;-;-;3;5;6;9;7;10;6;-;-;47
"292960 SAPEACU";2;2;-;-;2;-;4;7;11;20;12;-;60
"292970 SATIRO DIAS";-;-;-;-;-;-;-;3;7;39;23;3;75
"292975 SAUBARA";-;-;-;-;1;-;-;4;7;6;8;12;38
"292980 SAUDE";-;-;-;-;1;1;1;2;3;4;1;-;13
"292990 SEABRA";1;3;5;9;6;16;25;34;52;27;53;9;240
"293000 SEBASTIAO LARANJEIRAS";-;-;-;-;1;4;4;8;11;34;42;10;114
"293010 SENHOR DO BONFIM";-;-;-;-;-;1;2;4;29;42;10;-;88
"293015 SERRA DO RAMALHO";-;-;1;-;1;9;2;15;42;27;9;-;106
"293020 SENTO SE";-;-;-;-;-;-;-;2;4;2;1;-;9
"293030 SERRA DOURADA";-;-;1;-;1;8;5;20;17;12;13;-;77
"293040 SERRA PRETA";-;-;-;-;-;-;-;1;1;5;-;-;7
"293050 SERRINHA";4;6;7;10;65;137;164;347;369;428;331;162;2030
"293060 SERROLANDIA";-;5;6;9;10;12;33;35;23;33;19;-;185
"293070 SIMOES FILHO";-;-;-;-;1;-;1;3;-;-;-;-;5
"293075 SITIO DO MATO";-;-;-;1;-;1;3;3;7;16;14;-;45
"293076 SITIO DO QUINTO";-;-;-;-;1;1;2;5;1;-;-;-;10
"293077 SOBRADINHO";-;1;-;1;2;2;3;3;13;17;12;-;54
"293080 SOUTO SOARES";-;-;-;-;2;2;1;8;37;45;26;-;121
"293090 TABOCAS DO BREJO VELHO";-;-;-;-;1;6;4;17;12;29;1;-;70
"293100 TANHACU";-;1;-;1;-;-;-;1;4;14;18;11;50
"293105 TANQUE NOVO";8;14;6;5;2;7;7;14;11;14;11;4;103
"293110 TANQUINHO";-;2;-;1;4;-;6;10;7;-;-;-;30
"293120 TAPEROA";-;-;-;-;-;-;-;5;7;3;-;-;15
"293130 TAPIRAMUTA";7;13;20;19;46;79;56;112;93;59;27;2;533
"293135 TEIXEIRA DE FREITAS";19;25;17;30;36;58;127;220;440;444;266;4;1686
"293140 TEODORO SAMPAIO";-;-;-;-;-;-;-;2;8;7;1;-;18
"293150 TEOFILANDIA";-;-;-;-;-;2;2;8;9;47;1;1;70
"293160 TEOLANDIA";-;-;-;-;1;-;-;3;23;51;10;-;88
"293170 TERRA NOVA";-;-;-;-;-;-;-;8;2;7;-;-;17
"293180 TREMEDAL";-;-;-;-;-;2;7;14;27;4;-;-;54
"293190 TUCANO";-;1;-;-;1;1;-;5;2;4;3;1;18
"293200 UAUA";-;1;-;-;3;1;6;4;5;3;1;-;24
"293210 UBAIRA";-;-;-;-;1;1;2;10;10;26;2;-;52
"293220 UBAITABA";-;-;-;-;1;2;3;8;1;4;6;-;25
"293230 UBATA";-;-;-;-;1;9;2;14;6;14;15;3;64
"293240 UIBAI";-;-;2;-;4;-;3;7;15;21;6;3;61
"293245 UMBURANAS";-;-;-;-;-;4;2;9;13;7;7;-;42
"293250 UNA";-;-;-;-;-;-;2;-;2;4;-;-;8
"293260 URANDI";-;-;-;1;2;4;12;20;27;34;16;1;117
"293270 URUCUCA";2;2;1;2;3;3;4;7;9;16;44;18;111
"293280 UTINGA";-;-;1;3;-;2;2;8;7;9;8;-;40
"293290 VALENCA";-;2;1;-;1;3;8;21;54;108;94;24;316
"293300 VALENTE";-;-;-;-;1;-;3;17;45;27;1;-;94
"293305 VARZEA DA ROCA";-;-;1;-;8;3;22;40;83;41;28;10;236
"293310 VARZEA DO POCO";-;-;-;-;3;-;3;17;20;8;6;-;57
"293315 VARZEA NOVA";1;2;1;-;2;2;9;21;21;37;23;2;121
"293317 VARZEDO";-;-;-;1;-;2;3;18;27;38;70;8;167
"293320 VERA CRUZ";-;2;-;3;1;3;14;10;4;7;-;-;44
"293325 VEREDA";-;-;1;-;1;-;1;2;7;11;10;-;33
"293330 VITORIA DA CONQUISTA";82;96;103;214;455;741;1037;1645;2317;2435;1879;777;11781
"293340 WAGNER";-;-;-;-;-;-;-;8;1;9;5;1;24
"293345 WANDERLEY";-;-;-;2;7;28;41;27;16;7;-;-;128
"293350 WENCESLAU GUIMARAES";-;-;-;-;-;-;-;2;8;22;25;8;65
"293360 XIQUE-XIQUE";-;-;-;-;2;2;3;33;53;32;10;-;135
"310010 ABADIA DOS DOURADOS";2;2;7;9;5;5;10;11;10;8;8;1;78
"310020 ABAETE";7;4;4;24;75;80;124;173;167;57;12;-;727
"310030 ABRE CAMPO";-;-;6;3;5;23;16;25;32;22;53;3;188
"310040 ACAIACA";5;19;22;45;44;48;119;88;69;57;45;12;573
"310050 ACUCENA";1;6;13;23;15;23;18;45;53;65;57;28;347
"310060 AGUA BOA";2;1;3;6;27;10;52;77;62;136;158;50;584
"310070 AGUA COMPRIDA";-;-;-;-;-;3;6;5;3;15;3;2;37
"310080 AGUANIL";2;2;12;18;19;58;63;86;107;66;36;5;474
"310090 AGUAS FORMOSAS";4;5;1;4;10;8;18;61;72;39;51;16;289
"310100 AGUAS VERMELHAS";-;-;-;-;1;2;4;4;4;7;6;-;28
"310110 AIMORES";-;1;4;11;13;25;35;57;76;70;82;14;388
"310120 AIURUOCA";1;-;1;1;3;8;5;5;8;9;11;4;56
"310130 ALAGOA";-;-;-;-;-;-;-;-;-;1;-;-;1
"310140 ALBERTINA";-;-;-;-;-;1;-;-;-;1;-;1;3
"310150 ALEM PARAIBA";149;141;177;216;208;170;274;250;269;220;114;20;2208
"310160 ALFENAS";33;29;64;135;142;197;395;534;605;484;63;2;2683
"310163 ALFREDO VASCONCELOS";-;-;-;1;5;8;6;9;24;31;71;24;179
"310170 ALMENARA";2;-;-;1;2;5;12;32;95;81;77;44;351
"310180 ALPERCATA";5;6;8;11;10;18;13;11;20;14;-;2;118
"310190 ALPINOPOLIS";4;4;3;7;13;13;84;76;83;67;93;59;506
"310200 ALTEROSA";-;2;6;27;21;27;38;35;72;103;78;2;411
"310205 ALTO CAPARAO";2;5;5;3;2;3;7;2;4;24;35;11;103
"310210 ALTO RIO DOCE";3;2;1;26;14;20;23;16;8;10;8;-;131
"310220 ALVARENGA";2;3;1;1;8;3;3;7;22;17;26;3;96
"310230 ALVINOPOLIS";11;37;45;87;86;113;120;165;139;89;94;27;1013
"310240 ALVORADA DE MINAS";2;4;16;34;85;72;71;89;83;75;48;-;579
"310250 AMPARO DO SERRA";-;-;-;2;2;-;2;1;1;2;-;-;10
"310260 ANDRADAS";3;18;4;8;47;79;152;181;317;412;527;263;2011
"310270 CACHOEIRA DE PAJEU";-;-;1;3;7;14;13;13;35;40;56;16;198
"310280 ANDRELANDIA";-;-;10;7;1;16;9;19;28;26;40;5;161
"310285 ANGELANDIA";1;-;1;1;13;11;38;44;30;41;26;-;206
"310290 ANTONIO CARLOS";-;-;-;9;17;19;8;19;22;41;70;16;221
"310300 ANTONIO DIAS";114;62;56;63;57;34;44;43;23;17;10;3;526
"310310 ANTONIO PRADO DE MINAS";-;-;-;1;1;-;2;1;-;-;-;-;5
"310320 ARACAI";1;4;6;8;3;13;16;9;18;18;8;5;109
"310330 ARACITABA";-;-;-;-;1;2;6;3;7;3;-;-;22
"310340 ARACUAI";12;14;11;16;34;43;62;134;215;232;214;125;1112
"310350 ARAGUARI";243;308;422;781;869;866;520;423;305;294;47;-;5078
"310360 ARANTINA";-;1;2;5;10;17;15;14;43;38;5;-;150
"310370 ARAPONGA";-;-;1;2;-;-;1;3;2;6;1;2;18
"310375 ARAPORA";-;1;2;8;8;6;14;28;13;15;34;19;148
"310380 ARAPUA";4;2;8;6;10;16;12;29;25;58;38;-;208
"310390 ARAUJOS";15;34;52;65;66;115;93;122;160;134;128;62;1046
"310400 ARAXA";72;87;73;243;403;486;459;474;167;208;26;-;2698
"310410 ARCEBURGO";35;25;22;28;24;12;21;28;16;13;4;-;228
"310420 ARCOS";8;31;50;105;173;204;296;335;194;192;156;54;1798
"310430 AREADO";79;104;207;205;272;220;263;314;221;99;1;-;1985
"310440 ARGIRITA";1;-;-;1;1;1;1;3;4;4;-;-;16
"310445 ARICANDUVA";-;-;-;-;1;-;2;2;12;19;17;2;55
"310450 ARINOS";47;41;47;38;85;57;53;47;23;22;1;-;461
"310460 ASTOLFO DUTRA";13;20;25;20;35;17;12;23;9;2;2;-;178
"310470 ATALEIA";1;-;2;-;-;9;4;22;15;11;16;1;81
"310480 AUGUSTO DE LIMA";1;2;12;22;36;34;42;60;70;47;59;20;405
"310490 BAEPENDI";-;-;2;2;-;6;25;22;51;48;46;28;230
"310500 BALDIM";12;29;61;127;73;61;36;60;96;76;40;2;673
"310510 BAMBUI";1;5;16;21;30;29;62;64;63;36;5;-;332
"310520 BANDEIRA";-;-;-;-;-;-;1;1;1;-;2;-;5
"310530 BANDEIRA DO SUL";-;-;-;-;-;2;7;8;10;9;7;1;44
"310540 BARAO DE COCAIS";192;354;344;288;56;61;17;253;305;233;22;-;2125
"310550 BARAO DE MONTE ALTO";-;-;-;-;-;1;4;6;14;10;7;-;42
"310560 BARBACENA";23;24;66;113;182;274;344;383;505;415;98;7;2434
"310570 BARRA LONGA";2;4;4;6;8;5;25;9;8;10;3;-;84
"310590 BARROSO";118;141;189;221;200;303;13;2;2;3;1;-;1193
"310600 BELA VISTA DE MINAS";3;1;4;19;55;165;155;172;259;168;32;8;1041
"310610 BELMIRO BRAGA";-;1;1;1;-;1;1;2;1;-;-;-;8
"310620 BELO HORIZONTE";2086;2955;4470;8121;12581;15589;16718;20523;16183;10595;3985;495;114301
"310630 BELO ORIENTE";44;147;203;289;414;389;330;284;132;85;65;27;2409
"310640 BELO VALE";1;2;3;23;28;34;31;63;99;95;56;14;449
"310650 BERILO";27;17;44;22;14;18;11;13;16;20;-;-;202
"310660 BERTOPOLIS";-;-;-;-;1;2;1;3;9;15;17;7;55
"310665 BERIZAL";-;-;-;1;-;1;-;-;-;5;7;3;17
"310670 BETIM";468;729;2091;3787;3644;3172;2485;1747;1465;1474;1314;702;23078
"310690 BICAS";2;-;1;11;26;14;34;76;68;67;36;5;340
"310700 BIQUINHAS";1;1;1;4;5;7;5;14;7;7;7;1;60
"310710 BOA ESPERANCA";1;5;10;42;45;68;124;152;194;155;193;24;1013
"310720 BOCAINA DE MINAS";-;-;-;1;-;1;-;1;4;-;1;1;9
"310730 BOCAIUVA";292;240;259;190;124;137;78;100;80;97;62;25;1684
"310740 BOM DESPACHO";115;103;175;226;271;198;153;126;107;15;-;1;1490
"310750 BOM JARDIM DE MINAS";-;-;-;2;6;5;3;14;23;23;14;11;101
"310760 BOM JESUS DA PENHA";1;-;-;-;1;3;-;3;5;9;7;3;32
"310770 BOM JESUS DO AMPARO";-;2;4;4;11;26;33;41;39;51;69;22;302
"310780 BOM JESUS DO GALHO";9;10;31;34;19;14;8;21;32;14;-;-;192
"310790 BOM REPOUSO";-;1;-;-;-;1;-;2;-;2;-;-;6
"310800 BOM SUCESSO";8;7;12;26;47;77;80;124;156;217;21;-;775
"310810 BONFIM";5;2;10;9;20;39;39;25;39;32;24;12;256
"310820 BONFINOPOLIS DE MINAS";4;5;3;16;15;11;25;44;3;-;-;-;126
"310825 BONITO DE MINAS";2;1;3;5;16;14;19;27;43;71;17;-;218
"310830 BORDA DA MATA";5;2;8;9;13;19;20;18;20;32;58;19;223
"310840 BOTELHOS";-;-;3;13;8;17;22;20;19;39;35;9;185
"310850 BOTUMIRIM";3;4;8;34;28;37;28;53;48;58;49;13;363
"310855 BRASILANDIA DE MINAS";-;3;1;2;4;3;2;12;8;6;2;-;43
"310860 BRASILIA DE MINAS";34;68;97;144;267;289;279;273;190;137;106;23;1907
"310870 BRAS PIRES";-;1;2;5;4;10;4;9;3;9;7;7;61
"310880 BRAUNAS";1;2;3;8;10;9;1;-;-;-;-;-;34
"310890 BRAZOPOLIS";1;1;3;4;6;17;22;23;19;25;16;13;150
"310900 BRUMADINHO";176;239;395;477;898;1036;1063;1159;553;447;129;1;6573
"310910 BUENO BRANDAO";1;-;1;5;3;5;3;3;7;14;6;1;49
"310920 BUENOPOLIS";4;11;31;49;75;57;65;89;57;18;14;-;470
"310925 BUGRE";5;4;26;25;43;38;21;29;25;14;16;5;251
"310930 BURITIS";61;59;75;71;139;122;258;309;402;171;142;13;1822
"310940 BURITIZEIRO";-;-;2;8;33;57;32;51;45;87;32;1;348
"310945 CABECEIRA GRANDE";13;9;9;11;15;11;27;7;7;18;5;1;133
"310950 CABO VERDE";16;5;4;16;18;15;6;9;11;10;13;5;128
"310960 CACHOEIRA DA PRATA";1;3;10;20;19;31;26;13;-;-;-;-;123
"310970 CACHOEIRA DE MINAS";-;-;-;2;1;3;8;12;19;68;116;83;312
"310980 CACHOEIRA DOURADA";-;-;1;-;-;-;1;-;-;-;-;-;2
"310990 CAETANOPOLIS";2;5;5;24;28;62;47;74;76;97;78;9;507
"311000 CAETE";4;14;10;46;197;271;356;449;562;551;459;70;2989
"311010 CAIANA";2;2;21;26;23;19;21;13;6;10;4;1;148
"311020 CAJURI";-;-;1;-;1;6;9;8;29;57;49;50;210
"311030 CALDAS";-;1;-;1;1;1;3;5;1;3;9;6;31
"311040 CAMACHO";-;1;7;4;12;17;8;15;21;19;15;-;119
"311050 CAMANDUCAIA";-;-;1;-;3;1;2;2;2;2;3;-;16
"311060 CAMBUI";1;1;2;4;6;5;16;34;25;21;24;7;146
"311070 CAMBUQUIRA";1;1;-;6;19;18;17;17;22;45;49;6;201
"311080 CAMPANARIO";-;-;1;1;2;3;19;18;20;9;11;4;88
"311090 CAMPANHA";-;1;4;13;22;29;29;47;72;139;193;160;709
"311100 CAMPESTRE";-;1;-;-;1;13;13;10;6;-;-;-;44
"311110 CAMPINA VERDE";-;-;2;7;1;11;6;3;3;8;8;7;56
"311115 CAMPO AZUL";-;-;1;2;3;9;8;13;17;20;2;-;75
"311120 CAMPO BELO";52;67;121;211;388;601;505;354;187;60;-;-;2546
"311130 CAMPO DO MEIO";-;-;-;-;40;24;61;96;59;139;128;42;589
"311140 CAMPO FLORIDO";-;-;1;3;9;16;29;15;37;26;35;-;171
"311150 CAMPOS ALTOS";2;-;6;12;13;27;42;70;76;33;6;-;287
"311160 CAMPOS GERAIS";-;4;15;8;26;16;18;38;22;3;-;-;150
"311170 CANAA";1;-;-;-;1;1;1;2;2;10;5;-;23
"311180 CANAPOLIS";2;3;3;6;5;3;10;10;14;28;6;-;90
"311190 CANA VERDE";57;53;92;156;148;120;166;136;106;78;74;3;1189
